source,target,score,matches
0,1,0.72999524,2
0,4,0.85176367,6
0,11,0.92474862,6
0,68,0.70812283,2
1,11,0.83841472,18
1,68,0.97543483,13
2,17,0.86193408,19
2,18,0.84394008,16
2,65,0.96344604,30
2,70,0.92031631,14
2,250,0.82566460,14
2,662,0.84839450,15
2,687,0.85324255,15
2,816,0.83522127,13
2,979,0.72979694,13
2,1153,0.78633550,14
2,1196,0.78651303,16
4,11,0.93263326,33
5,6,0.88768660,32
10,247,0.84003790,28
10,685,0.99747156,23
10,858,0.99459094,22
10,1214,0.92427119,10
10,1230,0.91335974,8
10,1296,0.90573295,10
11,68,0.83248462,20
12,277,0.96935352,28
12,611,0.88300202,25
12,732,0.92502038,25
13,14,0.73006443,37
17,18,0.94285886,41
17,65,0.84267736,25
17,70,0.86267378,35
17,155,0.86279922,37
17,220,0.89135263,34
17,250,0.92351583,34
17,662,0.95373624,35
17,687,0.95573425,40
17,816,0.95619602,36
17,979,0.81785936,33
17,1153,0.88713652,33
17,1196,0.89168372,36
18,65,0.79928604,20
18,70,0.81721567,28
18,155,0.80811828,24
18,220,0.83091239,25
18,250,0.96094705,30
18,662,0.97147100,31
18,687,0.97733386,33
18,816,0.96501558,33
18,979,0.83539425,29
18,1153,0.90384880,30
18,1196,0.90216213,33
24,621,0.71593508,7
24,1334,0.76564295,5
32,667,0.94933210,5
32,668,0.87897785,4
32,675,0.72457665,5
32,925,0.94671496,5
32,926,0.85517937,5
32,928,0.92640830,3
32,1164,0.92028383,4
32,1165,0.94579867,6
34,585,0.77037775,11
34,586,0.76681226,12
34,727,0.77145581,14
34,729,0.76745175,17
34,740,0.77034657,12
34,785,0.79442156,15
34,786,0.76751134,9
34,870,0.76805197,6
34,985,0.78728166,17
34,986,0.76805982,9
35,36,0.76678143,35
37,94,0.95564194,25
37,97,0.87284293,27
38,39,0.95482239,26
38,50,0.92579469,26
38,51,0.95692404,20
38,52,0.72638098,19
38,54,0.86329125,9
38,57,0.82252349,19
38,60,0.74353771,16
38,98,0.79976557,20
38,471,0.80412229,22
38,524,0.86327303,24
38,702,0.77302989,18
39,50,0.97173945,25
39,51,0.95830400,20
39,52,0.79232559,20
39,54,0.88448383,10
39,57,0.89142096,20
39,60,0.82497864,18
39,64,0.74398271,15
39,98,0.87141775,20
39,471,0.72121809,22
39,472,0.71432027,18
39,524,0.94570787,25
39,702,0.73362898,18
40,42,0.96349431,43
46,554,0.88536691,8
49,63,0.96442750,5
49,78,0.97771707,8
49,609,0.79791906,7
49,671,0.89313661,6
49,874,0.88001247,5
49,934,0.85572891,6
50,51,0.89291019,18
50,52,0.78413676,22
50,54,0.82379422,9
50,57,0.89451686,23
50,60,0.82694508,18
50,64,0.73879508,16
50,98,0.88055009,22
50,524,0.94723449,28
50,702,0.72453944,19
51,52,0.78203367,18
51,54,0.93054974,14
51,57,0.85073210,19
51,60,0.79678192,15
51,64,0.73458978,16
51,98,0.83941418,18
51,471,0.79197532,19
51,472,0.77158945,14
51,524,0.89284215,21
51,702,0.73661238,15
52,54,0.87071901,11
52,57,0.81218951,21
52,60,0.98759398,20
52,64,0.98561462,21
52,98,0.97565760,24
52,524,0.88644658,25
53,55,0.90343249,19
54,57,0.82829892,13
54,60,0.87027663,9
54,64,0.83833071,11
54,98,0.88936218,12
54,471,0.70022551,9
54,472,0.70805359,8
54,524,0.87845870,14
56,208,0.85051934,2
56,275,0.72761354,2
56,283,0.85825200,2
57,60,0.84498086,19
57,64,0.77871192,19
57,98,0.88143841,27
57,524,0.90783673,28
60,64,0.97382323,16
60,98,0.98972273,19
60,524,0.91790709,21
62,76,0.84375474,10
62,80,0.99487770,15
62,282,0.98490029,16
63,78,0.99444842,10
63,609,0.81769607,9
63,671,0.91716583,5
63,874,0.90480371,4
63,934,0.88024076,5
64,98,0.95734439,20
64,524,0.85258506,20
65,70,0.90792249,23
65,250,0.78287496,16
65,662,0.81740241,17
65,687,0.82021952,18
65,816,0.81274589,19
65,1153,0.76294573,18
65,1196,0.76833199,20
69,151,0.96695070,25
69,559,0.88862270,13
70,155,0.71936004,24
70,220,0.74045131,23
70,250,0.79111956,26
70,662,0.82577114,24
70,687,0.82818267,26
70,816,0.82274723,28
70,979,0.71126086,22
70,1153,0.76960694,25
70,1196,0.77714500,26
71,86,0.98181957,36
72,306,0.96605796,10
72,546,0.97697334,14
72,548,0.73646752,7
72,572,0.97144450,13
73,75,0.95785757,47
73,456,0.85779438,20
74,91,0.78924970,21
74,100,0.95265003,23
74,194,0.81252868,37
75,456,0.94300986,20
76,80,0.82116667,10
76,282,0.80608388,10
78,609,0.82118234,12
78,671,0.91999621,6
78,874,0.90755338,6
78,934,0.88351483,7
80,282,0.99301936,22
81,118,0.98542016,5
81,202,0.98252890,6
83,106,0.88097667,13
83,125,0.88085674,13
83,128,0.88780886,9
83,142,0.86876390,14
83,147,0.88369907,10
83,193,0.91376240,9
83,248,0.87089954,11
83,295,0.87591693,12
83,1148,0.87948177,7
83,1389,0.86894477,8
87,152,0.99606946,7
87,539,0.73217315,2
87,681,0.96821503,3
88,360,0.85167643,23
89,516,0.74970678,18
90,762,0.92652934,8
90,763,0.97144367,7
91,100,0.87212703,27
94,97,0.89750197,28
96,206,0.91784218,10
96,239,0.91281424,5
98,524,0.94639452,28
100,194,0.84348698,18
101,140,0.98928031,16
101,141,0.96698001,14
101,1484,0.95220259,11
101,1486,0.94291128,8
101,1492,0.95290338,9
101,1513,0.95131476,10
101,1587,0.95166498,5
101,1652,0.95364815,7
101,1683,0.81802471,14
101,1730,0.95465453,7
102,105,0.91503028,27
102,134,0.82282966,11
102,145,0.99935452,8
102,146,0.91727127,8
102,336,0.78809295,10
102,589,0.99697906,15
102,590,0.89891283,6
103,120,0.98471619,7
103,137,0.98168491,13
103,150,0.98831644,11
103,187,0.95763411,7
103,232,0.94961055,6
104,1141,0.99109368,42
105,134,0.91946915,33
105,145,0.91666434,8
105,146,0.99984158,19
105,336,0.72127401,9
105,589,0.91675825,14
105,590,0.99555268,19
106,125,0.99781612,17
106,128,0.99846272,13
106,142,0.97823228,18
106,147,0.99928130,19
106,193,0.95770236,12
106,237,0.98735773,15
106,248,0.98960365,17
106,295,0.99494049,15
106,353,0.92438522,15
106,769,0.95881920,10
106,1007,0.97541067,14
106,1148,0.99681834,12
106,1389,0.91259893,11
107,161,0.78311458,34
107,179,0.86754912,49
107,218,0.77579192,35
109,154,0.96932873,43
109,285,0.80994713,3
110,176,0.99796711,48
110,1123,0.94118101,19
116,144,0.97950956,22
117,159,0.92395549,81
117,185,0.95637619,74
117,211,0.97682979,77
118,202,0.99914743,19
119,164,0.80934811,13
119,317,0.93936682,5
119,340,0.94241493,8
119,362,0.94313366,6
119,386,0.94329055,9
119,409,0.94367723,12
120,137,0.95685507,7
120,150,0.98735828,7
120,187,0.97469189,5
120,232,0.97177524,5
121,166,0.96685257,43
123,174,0.97770424,24
123,1036,0.78984643,6
125,128,0.99883329,13
125,142,0.98172608,13
125,147,0.99798414,13
125,193,0.95054421,10
125,237,0.99402523,31
125,248,0.99594392,29
125,295,0.99590210,23
125,344,0.79245950,28
125,353,0.92984751,19
125,769,0.96811999,23
125,1007,0.98269111,26
125,1148,0.99885364,18
