node_id,label,raw_name,precursor_mz,num_peaks,component_id,degree
0,n1,1,141.958780,12,0,4
1,n2,2,154.990440,23,0,3
2,n3,3,169.977710,43,1,11
3,n4,4,180.990080,113,2,0
4,n5,5,182.985520,51,0,2
5,n6,6,287.888700,49,3,1
6,n7,7,328.915220,132,3,1
7,n8,8,194.975530,79,4,0
8,n9,9,151.035640,31,5,0
9,n10,10,190.979860,63,6,0
10,n11,11,167.013180,50,7,6
11,n12,12,158.961690,110,0,4
12,n13,13,171.993260,42,8,3
13,n14,14,276.896670,71,9,1
14,n15,15,304.891560,82,9,1
15,n16,16,404.815820,83,10,0
16,n17,17,186.956430,83,11,0
17,n18,18,176.972280,105,1,13
18,n19,19,199.988200,64,1,13
19,n20,20,274.873840,37,12,0
20,n21,21,175.119380,55,13,0
21,n22,22,303.883310,100,14,0
22,n23,23,303.155510,31,15,0
23,n24,24,176.092190,79,16,0
24,n25,25,224.113550,68,17,2
25,n26,26,133.061080,16,18,0
26,n27,27,236.938890,54,19,0
27,n28,28,160.097120,49,20,0
28,n29,29,173.092410,41,21,0
29,n30,30,186.076390,40,22,0
30,n31,31,258.110350,71,23,0
31,n32,32,338.144780,74,24,0
32,n33,33,205.068600,44,25,8
33,n34,34,219.026950,39,26,0
34,n35,35,203.052900,51,27,10
35,n36,36,234.097570,84,28,1
36,n37,37,252.108100,77,28,1
37,n38,38,305.134580,73,29,2
38,n39,39,180.086950,47,30,11
39,n40,40,198.097570,44,30,13
40,n41,41,266.123730,64,31,1
41,n42,42,418.156140,35,32,0
42,n43,43,248.113200,76,31,1
43,n44,44,322.150020,62,33,0
44,n45,45,243.134280,38,34,0
45,n46,46,232.118230,69,35,0
46,n47,47,187.108000,47,36,1
47,n48,48,233.113530,57,37,0
48,n49,49,381.079520,31,38,0
49,n50,50,145.049750,19,39,6
50,n51,51,325.113170,53,30,11
51,n52,52,360.150100,37,30,13
52,n53,53,684.255410,57,30,10
53,n54,54,128.107300,43,40,1
54,n55,55,702.266830,32,30,12
55,n56,56,127.039290,35,40,1
56,n57,57,130.086540,14,41,3
57,n58,58,342.139830,59,30,10
58,n59,59,365.105530,35,42,0
59,n60,60,275.992970,107,43,0
60,n61,61,522.203100,39,30,10
61,n62,62,527.158480,36,44,0
62,n63,63,216.123290,31,45,3
63,n64,64,287.196520,30,39,6
64,n65,65,846.308780,36,30,9
65,n66,66,169.977590,78,1,10
66,n67,67,176.128340,50,46,0
67,n68,68,183.113080,43,47,0
68,n69,69,154.990480,62,0,3
69,n70,70,194.117900,49,48,2
70,n71,71,214.003830,82,1,13
71,n72,72,158.117880,58,49,1
72,n73,73,124.112400,28,50,4
73,n74,74,260.113070,86,51,2
74,n75,75,198.112700,101,52,3
75,n76,76,278.123570,78,51,2
76,n77,77,234.133780,41,45,3
77,n78,78,227.139080,57,53,0
78,n79,79,144.101980,24,39,6
79,n80,80,378.024270,81,54,0
80,n81,81,216.123300,41,45,3
81,n82,82,136.061980,27,55,2
82,n83,83,126.055280,52,56,0
83,n84,84,152.057060,50,57,10
84,n85,85,146.117580,15,58,0
85,n86,86,185.042300,91,59,0
86,n87,87,158.961560,81,49,1
87,n88,88,142.122720,19,41,3
88,n89,89,153.102460,52,60,1
89,n90,90,287.123770,67,61,1
90,n91,91,347.094660,30,62,2
91,n92,92,200.128270,57,52,2
92,n93,93,199.988100,72,63,0
93,n94,94,197.128820,75,64,0
