query_export_key	query_node_id	query_feature_id	query_featurelist_feature_id	query_scans	query_label	query_raw_name	hit_rank	hit_spectral_score	hit_matches	hit_precursor_mz	hit_raw_name	hit_CHARGE	hit_COLLISION_ENERGY	hit_FEATURELIST_FEATURE_ID	hit_FEATURE_ID	hit_FEATURE_MS1_HEIGHT	hit_FILENAME	hit_FRAGMENTATION_METHOD	hit_IONMODE	hit_ISOLATION_WINDOW	hit_MERGED_ACROSS_N_SAMPLES	hit_MSLEVEL	hit_NUM PEAKS	hit_PEPMASS	hit_RTINSECONDS	hit_SCANS	hit_SOURCE_SCAN_USI	hit_SPECTYPE
1	0	1	Aligned feature list peak gap-filled:1	1	n1	1	1	1.00000000	12	141.958780	1	1	[30.0]	Aligned feature list peak gap-filled:1	1	2.335E8	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	12	141.95878	19.80	1	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:248"]	SINGLE_SCAN
2	1	2	Aligned feature list peak gap-filled:2	2	n2	2	1	1.00000000	23	154.990440	2	1	[30.0]	Aligned feature list peak gap-filled:2	2	1.712E8	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	23	154.99044	19.80	2	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:249"]	SINGLE_SCAN
2	1	2	Aligned feature list peak gap-filled:2	2	n2	2	2	0.97543483	13	154.990480	69		[30.0]	Aligned feature list peak gap-filled:69	69	5.697E6	20260209_CVOL_bk_mapp_01.mzML	HCD	POSITIVE	2.0	1	2	62	154.99048	29.09	69	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_bk_mapp_01:374"]	SINGLE_SCAN
3	2	3	Aligned feature list peak gap-filled:3	3	n3	3	1	1.00000000	43	169.977710	3		[30.0]	Aligned feature list peak gap-filled:3	3	1.695E7	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	43	169.97771	19.78	3	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:258"]	SINGLE_SCAN
3	2	3	Aligned feature list peak gap-filled:3	3	n3	3	2	0.96344604	30	169.977590	66	1	[30.0]	Aligned feature list peak gap-filled:66	66	5.611E6	20260209_CVOL_bk_mapp_01.mzML	HCD	POSITIVE	2.0	1	2	78	169.97759	27.93	66	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_bk_mapp_01:338"]	SINGLE_SCAN
4	3	4	Aligned feature list peak gap-filled:4	4	n4	4	1	1.00000000	113	180.990080	4	1	[30.0]	Aligned feature list peak gap-filled:4	4	4.001E7	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	113	180.99008	21.36	4	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:240"]	SINGLE_SCAN
5	4	5	Aligned feature list peak gap-filled:5	5	n5	5	1	1.00000000	51	182.985520	5	1	[30.0]	Aligned feature list peak gap-filled:5	5	6.438E8	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	51	182.98552	19.26	5	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:242"]	SINGLE_SCAN
6	5	6	Aligned feature list peak gap-filled:6	6	n6	6	1	1.00000000	49	287.888700	6	1	[30.0]	Aligned feature list peak gap-filled:6	6	1.485E8	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	49	287.8887	21.36	6	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:244"]	SINGLE_SCAN
7	6	7	Aligned feature list peak gap-filled:7	7	n7	7	1	1.00000000	132	328.915220	7	1	[30.0]	Aligned feature list peak gap-filled:7	7	1.983E8	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	132	328.91522	21.36	7	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:239"]	SINGLE_SCAN
8	7	8	Aligned feature list peak gap-filled:8	8	n8	8	1	1.00000000	79	194.975530	8	1	[30.0]	Aligned feature list peak gap-filled:8	8	3.171E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	79	194.97553	21.46	8	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:239"]	SINGLE_SCAN
9	8	9	Aligned feature list peak gap-filled:9	9	n9	9	1	1.00000000	31	151.035640	9	1	[30.0]	Aligned feature list peak gap-filled:9	9	7.009E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	31	151.03564	21.42	9	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:248"]	SINGLE_SCAN
10	9	10	Aligned feature list peak gap-filled:10	10	n10	10	1	1.00000000	63	190.979860	10	1	[30.0]	Aligned feature list peak gap-filled:10	10	7.792E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	63	190.97986	21.46	10	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:238"]	SINGLE_SCAN
11	10	11	Aligned feature list peak gap-filled:11	11	n11	11	1	1.00000000	50	167.013180	11	1	[30.0]	Aligned feature list peak gap-filled:11	11	7.845E6	20260209_CVOL_mapp_02_24_Bio.mzML	HCD	POSITIVE	2.0	1	2	50	167.01318	21.51	11	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_Bio:244"]	SINGLE_SCAN
11	10	11	Aligned feature list peak gap-filled:11	11	n11	11	2	0.99747156	23	167.013350	686	1	[30.0]	Aligned feature list peak gap-filled:686	686	1.082E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	46	167.01335	207.74	686	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:2528"]	SINGLE_SCAN
